"Carimbo de data/hora","Unidade","Setor","Local","Item","Marca","Modelo","Nº. Série","Problema","Situação do Equipamento","Tasy","Quantidade","Nome do Analista","Cargo do Analista"
"2025/11/25 9:56:05 AM GMT-3","Vila Nova","Administrativo","Campo Grande","Fonte","Dell","OPTIPLEX 3020","5J07642","Após variação de energia elétrica, a fonte queimou.","Inoperante","60814
FONTE PARA COMPUTADOR OPTIPLEX 3020 MODELO: D255AS-00","1","Marcus Vinicius de Oliveira","Analista de TI"
"2025/11/28 10:28:38 AM GMT-3","Operadora","Contabilidade","Campo Grande","Teclado","","","","Teclado com conexão intermitente. Necessário a compra.","Solicitação de compra","56699 - TECLADO LOGITECH MK120","1","Marcus Vinicius de Oliveira","Analista de TI"
"2025/12/04 4:51:01 PM GMT-3","Operadora","TI","Campo Grande","Fonte","HP","PRO DESK 400 G5 SFF","NT","Fonte queimada após variação de luz","Inoperante","58229 - FONTE P/ HP PRODESK 400G5","1","Marcus Vinicius de Oliveira","Analista de TI"
"2025/12/08 11:40:09 AM GMT-3","Operadora","Recursos Humanos","Campo Grande","Disco (HD/SSD)","","","","SSD com problema, necessário realizar a troca.","Inoperante","59015 - SSD KINGSTON 240GB A400 SATA III","1","Marcus Vinicius de Oliveira","Analista de TI"
"2025/12/10 10:39:05 AM GMT-3","Vila Nova","Atendimento","Campo Grande","Fonte","Dell","OPTIPLEX 3020","","Após variação de energia elétrica, o computador da supervisão de Vila Nova teve a sua fonte queimada. Recomendação: Compra de uma nova fonte.","Inoperante","66549 - Fonte Atx Dell Optiplex 3020-7020-9020-t7100-sff ","1","Marcus Vinicius de Oliveira","Analista de TI"
"2025/12/18 12:19:10 PM GMT-3","Operadora","Diretoria","Campo Grande","Acess Point / Unifi","Unifi","Access Point Ubiquiti U7-pro, Wi-fi 7, Tri-band, Poe+","","Após chuva intensa, o mesmo parou de funcionar.","Inoperante","66557 - ACCESS POINT UBIQUITI UNIFI U7-PRO","1","Romayne de Arruda Matos","Analista de TI"
"2026/01/02 1:36:09 PM GMT-3","HGSC","TI","Santa Cruz","Fonte","Lenovo","","","Carregador notebook do setor de Patrimônio está com problema. Necessário a compra de um novo.","Solicitação de compra","61422 - CARREGADOR PARA NOTEBOOK LENOVO B330-15IKBR 81M1","1","Marcus Vinicius de Oliveira","Analista de TI"
"2026/01/07 10:49:53 AM GMT-3","Operadora","Diretoria","Campo Grande","Acess Point / Unifi","Unifi","Access Point Ubiquiti U7-pro, Wi-fi 7, Tri-band, Poe+","","","Solicitação de compra","66557 - ACCESS POINT UBIQUITI UNIFI U7-PRO","1","Marcus Vinicius de Oliveira","Analista de TI"
"2026/01/21 10:16:09 AM GMT-3","CETI","Atendimento","Campo Grande","Adaptadores","N/D","N/D","","Computador da recepção apresentou falhas no adaptador displayport/VGA","Inoperante","53729 - CABO ADAPTADOR CONVERSOR DISPLAYPORT PARA VGA","1","Marcus Vinicius de Oliveira","Analista de TI"
"2026/01/21 10:55:08 AM GMT-3","Operadora","Diretoria","Campo Grande","Teclado;Mouse","N/D","N/D","","Conforme pedido no chamado 5765, segue solicitação de compra ","Solicitação de compra","56117 - KIT WIRELESS COMBO TECLADO E MOUSE S/FIO LOGITECH MK235","1","Marcus Vinicius de Oliveira","Analista de TI"
"2026/01/26 10:09:59 AM GMT-3","Operadora","Call Center","Campo Grande","Disco (HD/SSD)","HP","PRO DESK 402 G1 SFF","","Conforme chamado 5937, computador apresenta falhas no sistema por conta de mal funcionamento do SSD. Necessário realizar a troca.","Inoperante","59015 - SSD KINGSTON 240GB A400 SATA III","1","Marcus Vinicius de Oliveira","Analista de TI"
"2026/02/02 9:47:10 AM GMT-3","Operadora","Comercial PJ","Campo Grande","Disco (HD/SSD)","HP","PRO DESK 400 G5 SFF","","SSD apresenta problema intermitente","Inoperante","59015 - SSD KINGSTON 240GB A400 SATA III","1","Marcus Vinicius de Oliveira","Analista de TI"
"2026/02/19 4:06:35 PM GMT-3","Operadora","Fidelização","Campo Grande","Computador","HP","PRO DESK 400 G5 SFF","","Conforme solicitado pela gestão","Solicitação de compra","56697 - COMPUTADOR SEMINOVO DELL OPTIPLEX 3020/7020 CORE 15 -  WIN 10PRO","2","Marcus Vinicius de Oliveira","Analista de TI"
"2026/02/20 2:57:04 PM GMT-3","Operadora","Fidelização","Campo Grande","Headsets","Jabra","Jabra Evolve 20","","Conforme solicitado pela gestão","Solicitação de compra","59202 - HEADSET JABRA - ENVOLVE 20 MONO MS","2","Marcus Vinicius de Oliveira","Analista de TI"
